date_id,full_date,year,quarter,month,month_name,day,day_name
19931023,1993-10-23,1993,4,10,October,23,Saturday
19931101,1993-11-01,1993,4,11,November,1,Monday
19931104,1993-11-04,1993,4,11,November,4,Thursday
19931126,1993-11-26,1993,4,11,November,26,Friday
19931130,1993-11-30,1993,4,11,November,30,Tuesday
19931202,1993-12-02,1993,4,12,December,2,Thursday
19931217,1993-12-17,1993,4,12,December,17,Friday
19940101,1994-01-01,1994,1,1,January,1,Saturday
19940108,1994-01-08,1994,1,1,January,8,Saturday
19940131,1994-01-31,1994,1,1,January,31,Monday
19940201,1994-02-01,1994,1,2,February,1,Tuesday
19940212,1994-02-12,1994,1,2,February,12,Saturday
19940214,1994-02-14,1994,1,2,February,14,Monday
19940216,1994-02-16,1994,1,2,February,16,Wednesday
19940220,1994-02-20,1994,1,2,February,20,Sunday
19940301,1994-03-01,1994,1,3,March,1,Tuesday
19940401,1994-04-01,1994,2,4,April,1,Friday
19940404,1994-04-04,1994,2,4,April,4,Monday
19940414,1994-04-14,1994,2,4,April,14,Thursday
19940601,1994-06-01,1994,2,6,June,1,Wednesday
19940701,1994-07-01,1994,3,7,July,1,Friday
19940709,1994-07-09,1994,3,7,July,9,Saturday
19940715,1994-07-15,1994,3,7,July,15,Friday
19940723,1994-07-23,1994,3,7,July,23,Saturday
19940801,1994-08-01,1994,3,8,August,1,Monday
19940820,1994-08-20,1994,3,8,August,20,Saturday
19940901,1994-09-01,1994,3,9,September,1,Thursday
19940904,1994-09-04,1994,3,9,September,4,Sunday
19940912,1994-09-12,1994,3,9,September,12,Monday
19941001,1994-10-01,1994,4,10,October,1,Saturday
19941002,1994-10-02,1994,4,10,October,2,Sunday
19941005,1994-10-05,1994,4,10,October,5,Wednesday
19941010,1994-10-10,1994,4,10,October,10,Monday
19941101,1994-11-01,1994,4,11,November,1,Tuesday
19941115,1994-11-15,1994,4,11,November,15,Tuesday
19941201,1994-12-01,1994,4,12,December,1,Thursday
19941230,1994-12-30,1994,4,12,December,30,Friday
19950101,1995-01-01,1995,1,1,January,1,Sunday
19950110,1995-01-10,1995,1,1,January,10,Tuesday
19950126,1995-01-26,1995,1,1,January,26,Thursday
19950201,1995-02-01,1995,1,2,February,1,Wednesday
19950216,1995-02-16,1995,1,2,February,16,Thursday
19950221,1995-02-21,1995,1,2,February,21,Tuesday
19950222,1995-02-22,1995,1,2,February,22,Wednesday
19950301,1995-03-01,1995,1,3,March,1,Wednesday
19950307,1995-03-07,1995,1,3,March,7,Tuesday
19950310,1995-03-10,1995,1,3,March,10,Friday
19950317,1995-03-17,1995,1,3,March,17,Friday
19950331,1995-03-31,1995,1,3,March,31,Friday
19950401,1995-04-01,1995,2,4,April,1,Saturday
19950414,1995-04-14,1995,2,4,April,14,Friday
19950501,1995-05-01,1995,2,5,May,1,Monday
19950520,1995-05-20,1995,2,5,May,20,Saturday
19950601,1995-06-01,1995,2,6,June,1,Thursday
19950614,1995-06-14,1995,2,6,June,14,Wednesday
19950628,1995-06-28,1995,2,6,June,28,Wednesday
19950630,1995-06-30,1995,2,6,June,30,Friday
19950701,1995-07-01,1995,3,7,July,1,Saturday
19950715,1995-07-15,1995,3,7,July,15,Saturday
19950801,1995-08-01,1995,3,8,August,1,Tuesday
19950803,1995-08-03,1995,3,8,August,3,Thursday
