startup_id,cluster,log_funding,funding_rounds,years_since_founded,num_round_types_used,category_count
681,3,12.429220196836383,1,4.0,1,1.0
682,1,16.87777944888138,6,11.0,2,1.0
686,2,17.622173069956816,2,28.0,2,1.0
689,2,16.811242881518265,2,12.0,3,3.0
690,2,16.951004817371683,2,54.0,1,1.0
691,2,14.845130332288226,1,21.0,1,1.0
693,1,15.420868157231222,4,13.0,2,1.0
695,3,11.407576060361786,2,2.9,1,4.0
696,4,16.118095750958314,1,68.0,2,1.0
697,1,17.322022904246822,3,21.0,4,1.0
698,1,17.79975087079398,4,8.0,2,3.0
700,2,16.840801682303496,2,2.0,3,3.0
702,3,13.997832948091215,1,7.0,1,1.0
704,0,11.970356641102999,2,1.8,1,7.0
705,2,15.955576839107596,2,5.6,2,2.0
706,1,17.3439865199348,4,12.0,4,1.0
708,3,12.206077645517674,1,4.6,1,3.0
709,2,17.281246492014,2,20.0,1,1.0
710,2,15.013968483261179,1,15.0,2,1.0
711,2,13.815511557963774,1,14.0,1,1.0
712,2,16.302479246954054,3,5.0,1,1.0
713,2,13.384729180332174,1,23.0,2,1.0
714,3,13.541075028051122,1,4.0,1,1.0
716,1,18.52179646620847,9,19.0,8,1.0
717,2,16.304575300888487,4,10.0,1,4.0
718,0,15.899125752823949,1,19.0,1,5.0
719,2,15.659403168809444,1,7.0,1,1.0
723,2,14.731801689838349,1,13.8,2,1.0
725,2,15.268881154998052,2,10.0,2,1.0
726,2,14.557448378884015,1,17.0,2,1.0
728,3,12.705926296744794,1,4.0,1,1.0
732,2,15.919503116844474,4,13.0,1,1.0
733,2,17.233237274364523,2,9.0,3,1.0
734,2,14.034720783886309,3,9.0,2,2.0
736,3,11.55785102832322,1,5.0,1,4.0
737,1,16.74403413530075,5,8.0,4,1.0
738,3,11.225256725762893,1,5.0,1,3.0
739,2,15.424948670398354,1,32.0,1,1.0
741,2,15.978833698567334,1,16.0,1,1.0
745,2,18.830098954910074,1,39.0,1,2.0
746,3,13.304686600863562,1,2.0,1,1.0
747,2,15.400655982747342,1,15.0,1,1.0
748,0,13.511198978540927,2,3.7,2,4.0
750,2,15.107000161532492,1,9.0,1,3.0
751,3,10.627430633893226,1,1.5,1,1.0
753,1,18.834444661486796,6,7.0,4,1.0
754,2,15.479436845076366,1,16.0,2,1.0
755,3,10.308985993422082,1,6.0,1,2.0
756,1,18.429697054586008,3,11.0,4,2.0
757,1,18.012712520663676,3,11.0,4,1.0
760,0,16.401348227662556,3,4.9,1,7.0
762,3,11.918397239722838,1,7.0,1,1.0
763,2,16.012735246411598,1,15.0,1,1.0
764,3,11.51293546492023,1,1.7,1,3.0
765,1,15.096444681204078,3,5.0,4,1.0
767,1,17.709824214459562,4,20.0,4,2.0
769,2,14.731801689838349,1,25.0,2,1.0
770,2,17.729531586015174,1,17.0,1,2.0
771,1,18.726518971361276,5,11.0,5,1.0
772,0,14.038654909278163,1,3.2,1,5.0
775,2,18.420680753952364,1,23.0,1,1.0
776,0,14.151983508870947,1,2.0,2,4.0
781,2,16.440179222591198,2,2.0,2,1.0
783,0,15.803385043104912,1,2.0,2,8.0
784,2,14.50765773869101,3,12.0,1,1.0
785,2,18.258161826219297,1,14.9,1,4.0
786,2,13.291263603053904,1,15.0,1,1.0
787,2,16.811242881518265,1,13.0,1,1.0
791,1,16.00828089655825,3,2.8,4,4.0
792,3,13.792104767063615,1,3.0,1,1.0
793,2,15.891734052279482,1,17.0,1,1.0
794,2,16.52356082573315,4,9.0,1,1.0
796,3,13.602579679326231,1,1.6,1,2.0
797,3,10.596659732783579,1,3.0,1,1.0
798,1,18.590423526978277,7,7.7,7,4.0
799,2,16.308716093211594,3,12.0,2,2.0
803,2,16.811242881518265,1,9.0,1,1.0
805,2,16.213405921671733,1,13.0,1,4.0
807,2,16.825741022980058,1,10.0,1,1.0
810,2,16.37115817265545,1,18.0,1,1.0
812,3,11.918397239722838,1,6.9,1,1.0
814,2,15.607270193858982,1,19.0,1,1.0
815,1,17.110606445808376,6,7.0,3,4.0
816,1,18.099097133618006,5,7.0,4,3.0
818,2,16.912168758908226,1,11.0,2,1.0
819,3,11.669826644417272,3,2.0,2,2.0
820,1,17.869325791168727,6,17.0,3,3.0
821,2,16.562781536322326,1,17.0,1,1.0
823,3,11.83138646878959,1,12.0,1,1.0
824,1,19.150641902454304,5,5.5,6,1.0
825,2,15.13974359382842,1,12.0,2,1.0
827,1,16.993564429978885,3,16.0,4,1.0
829,2,15.761523701715452,2,15.0,2,1.0
830,2,13.304686600863562,2,6.0,2,1.0
833,1,17.879395929883795,5,14.9,6,1.0
835,3,11.51293546492023,2,5.0,1,4.0
836,2,15.656060350091908,1,15.0,2,1.0
839,2,13.815511557963774,1,10.0,1,1.0
840,3,12.899222326086994,1,7.8,1,2.0
841,3,12.429220196836383,1,5.5,1,3.0
843,3,13.122365377402328,1,2.0,1,3.0
844,2,14.227624182293146,1,7.0,1,1.0
847,3,12.429220196836383,1,4.9,1,2.0
848,2,15.607270193858982,2,3.0,2,1.0
849,2,13.710151153416941,1,14.7,1,3.0
851,2,17.034386422832473,1,13.0,1,1.0
852,3,10.596659732783579,1,9.0,1,1.0
853,2,14.652761978594283,2,10.0,1,1.0
854,2,16.932796571348014,2,11.0,2,1.0
856,3,13.76421831620775,2,6.0,1,1.0
858,1,16.588099342704055,3,4.4,3,2.0
859,3,10.596659732783579,1,6.0,1,1.0
860,3,13.465954500233115,2,5.0,1,1.0
862,2,16.40777580092307,2,2.1,3,1.0
863,2,13.928840136128022,1,9.0,1,1.0
864,1,16.929025911619092,5,12.0,3,1.0
865,1,18.417851816307127,11,10.6,6,1.0
866,2,17.370858648025116,1,31.0,1,1.0
867,0,14.077875591662238,1,5.0,2,4.0
868,2,13.73755009757506,3,8.0,3,1.0
869,2,16.257857680289998,2,10.0,3,1.0
871,1,19.18246133606795,10,15.4,8,1.0
874,1,16.612791953770035,4,6.3,3,1.0
875,3,8.517393171418904,1,1.5,1,1.0
877,2,15.607270193858982,1,11.0,1,1.0
879,3,13.869043741925164,1,8.0,1,1.0
